created_at,closed_at,summary,address
2017-01-31T09:53:21-05:00,,Abandoned Vehicle,"4441 S Indiana Chicago, Illinois"
2017-01-31T09:44:17-05:00,,Lights,"390 Morris Ave summit, nj"
2017-01-31T09:44:08-05:00,,new owner,"41 Baylor Road Hamilton Township, New Jersey"
2017-01-31T09:43:04-05:00,,Building Violation,"2856 N Ridgeway Ave CHICAGO, IL 60618"
2017-01-31T09:40:34-05:00,,Potholes,"N Bradley Road Libertyville, Illinois"
2017-01-31T09:38:01-05:00,,Multiple Potholes.,"5400-5498 Deer Forest Trail Raleigh, North Carolina"
2017-01-31T09:37:04-05:00,,FURNITURE AT THE CURB,"1771 25th St South Saint Petersburg, Florida"
2017-01-31T09:36:22-05:00,,Blocked Catch Basin,"538 Melbourne Detroit, Michigan"
2017-01-31T09:35:32-05:00,,FURNITURE ON THE CURB,"2490 Quebec Avenue South Saint Petersburg, Florida"
2017-01-31T09:34:09-05:00,,Canal Maintenance,"404 Winchester Drive Savannah, Georgia"
2017-01-31T09:28:47-05:00,,Signal repair,"837-899 Miller Ave Ann Arbor, MI 48103, USA"
2017-01-31T09:26:59-05:00,,Bike Share Station Location Request,"16-24 Wintergreen Avenue New Haven, Connecticut"
2017-01-31T09:25:14-05:00,,Bike Share Station Location Request,"515-525 Fitch Street New Haven, Connecticut"
2017-01-31T09:23:05-05:00,,Bike Share Station Location Request,"10 Wintergreen Avenue New Haven, Connecticut"
2017-01-31T09:22:56-05:00,,Building Violation,"2003 W 69th Pl CHICAGO, IL 60636"
2017-01-31T09:22:32-05:00,,Street light not working,"4100 Knoll Dr Bakersfield, California"
2017-01-31T09:21:01-05:00,,Pothole,"550 Cretin Avenue North Saint Paul, Minnesota"
2017-01-31T09:20:55-05:00,,Abandoned vehicle,"440 Arlingdale Circle Rio Linda, California"
2017-01-31T09:20:12-05:00,,Bike Share Station Location Request,"900 Chapel New Haven, Connecticut"
2017-01-31T09:17:22-05:00,2017-01-31T10:23:20-05:00,Snow & Ice Removal,"344 Davis St Greenfield, Massachusetts"
2017-01-31T09:16:52-05:00,,Sign Missing Investigation,"1501-1519 W St Nw Washington, DC 20009, USA"
2017-01-31T09:16:07-05:00,2017-01-31T10:22:50-05:00,Sidewalk obstruction,"318 Davis St Greenfield, Massachusetts"
2017-01-31T09:13:54-05:00,,S-WASTE: Tires,"Trammell Ave. Macon, Georgia"
2017-01-31T09:13:02-05:00,,Sidewalk Issue,"29 Manning Street Medford, Massachusetts"
2017-01-31T09:11:12-05:00,,Other City Issue,"9-15 Beetle St New Bedford, MA 02746, USA"
2017-01-31T09:10:48-05:00,,Potholes ,"533-547 Broad St Newark, NJ 07102, USA"
2017-01-31T09:06:20-05:00,,Garbage is piled outside for weeks,"79 Astor Pl Jersey City, NJ 07304, USA"
2017-01-31T09:05:22-05:00,,Graffiti,"637 3rd Ave S St. Petersburg, FL 33701, USA"
2017-01-31T09:03:27-05:00,,Numerous potholes ,"4-6 Gouverneur St Newark, NJ 07104, USA"
2017-01-31T09:02:42-05:00,,Numerous potholes ,"23 Gouverneur St Newark, NJ 07104, USA"
2017-01-31T08:59:52-05:00,,Business Complaint,"99 Maple Street Jersey City, New Jersey"
2017-01-31T08:57:52-05:00,,Graffiti on garbage can on Blue Spruce at Orchard Rd,"5186-5416 Blue Spruce Avenue Burlington, Ontario"
2017-01-31T08:57:35-05:00,,Potholes ,"1481 Mccarter Hwy Newark, NJ 07104, USA"
2017-01-31T08:57:12-05:00,,Abandoned Vehicle,"3841 West Washington Boulevard Chicago, Illinois"
2017-01-31T08:55:31-05:00,,Street Light Maintenance on Appleby Line Southbound at Upper Middle Road,"1893 Appleby Line Burlington, Ontario"
2017-01-31T08:55:19-05:00,,Garbage,409 1/2 8th St Se
2017-01-31T08:50:28-05:00,,Snow & Ice Removal,"23 Birch Street Greenfield, MA"
2017-01-31T08:36:28-05:00,,Pothole,"251 Wilton Drive Decatur, GA"
2017-01-31T08:35:36-05:00,,Alley Clearing,"3637 Doctor Martin Luther King Junior Street North Saint Petersburg, Florida"
2017-01-31T08:33:42-05:00,,Pot Holes,"4100 South  Salt Lake City, Utah"
2017-01-31T08:25:40-05:00,,Blocked Catch Basin,"24510 Frisbee Detroit, Michigan"
2017-01-31T08:24:42-05:00,,Graffiti Removal,"2400 W Warner Ave Chicago, IL 60618, USA"
2017-01-31T08:20:15-05:00,,Sediment or Mud Run-off,"Walnut Creek Trail Raleigh, North Carolina"
2017-01-31T08:17:50-05:00,,Sediment or Mud Run-off,"Walnut Creek Trail Raleigh, North Carolina"
2017-01-31T08:17:05-05:00,,Building Violation,"6350 S Champlain Ave CHICAGO, IL 60637"
2017-01-31T08:13:06-05:00,,Sidewalk Concern,"7812 Flagstone Court Ellicott City, MD"
2017-01-31T08:10:41-05:00,2017-02-02T08:36:21-05:00,Non-Emergency Traffic Issue,"342 Mishawum Road Woburn, Massachusetts"
2017-01-31T07:44:31-05:00,,Trucks Parking,"Airport Blvd Morrisville, NC 27560, USA"
2017-01-31T07:31:01-05:00,,Building Violation,"2540 W 46th St CHICAGO, IL 60632"
2017-01-31T07:25:55-05:00,,Streets - Potholes/Depression,Merrimac St & Telegraph Av 
2017-01-31T07:22:17-05:00,,Street Light Issue,"32 Leslie O Johnson Rd Gloucester, MA 01930, USA"
